C,NEMP.WORLD,DISPATCHSCADA,AEMO,PUBLIC,2022/10/20,00:00:09,0000000373215173,DISPATCHSCADA,0000000373215167
I,DISPATCH,UNIT_SCADA,1,SETTLEMENTDATE,DUID,SCADAVALUE
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",NPS,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",NUMURSF1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",NYNGAN1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",OAKEY1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",OAKEY1SF,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",OAKEY2,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",OAKEY2SF,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",OAKLAND1,14.40
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",OSB-AG,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",PAREPS1,0.0660
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",PAREPW1,1.59
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",PARSF1,0.001530
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",POAT110,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",POAT220,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",POR01,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",POR03,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",PPCCGT,170.867710
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",PTSTAN1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",PUMP1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",PUMP2,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",QBYNBG1,0.0005
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",QBYNBL1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",QPS1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",QPS2,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",QPS3,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",QPS4,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",QPS5,75.86
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",REECE1,0
D,DISPATCH,UNIT_SCADA,1,"2022/10/20 00:05:00",REECE2,0
